"his"|"patologia"|"perc_salida_leq_nq"
"500016"|12|8.8
"500021"|12|6.81
"500055"|5|9.68
"220015"|10|3.82
"500055"|35|9.8
"220054"|78|9.42
"440012"|32|8.47
"220015"|2|2.29
"440012"|92|12.5
"500153"|78|10.81
"220054"|1|14.29
"500074"|70|20.0
"500074"|10|7.18
"500021"|4|5.36
"500016"|4|8.37
"500055"|32|6.29
"440048"|78|11.21
"220015"|70|11.29
"440012"|5|13.51
"440012"|35|7.41
"440012"|79|12.5
"440048"|1|12.0
"500074"|79|3.92
"440012"|10|9.4
"220054"|4|4.12
"440048"|12|7.14
"500055"|70|12.23
"220015"|32|5.76
"440012"|2|4.29
"220015"|92|5.0
"500153"|4|2.13
"500021"|8|0.0
"500016"|8|0.0
"500074"|5|0.0
"500074"|35|0.0
"500016"|74|4.63
"500016"|70|13.13
"440012"|1|16.67
"220015"|4|1.57
"220054"|32|5.3
"500021"|70|10.23
"500021"|74|6.95
"500153"|32|7.39
"440012"|78|9.46
"440048"|5|30.0
"440048"|35|0.0
"220054"|92|5.71
"500074"|12|42.86
"500153"|92|8.33
"500016"|1|6.96
"500055"|2|4.81
"500016"|78|8.8
"220015"|79|24.14
"500021"|78|8.03
"500021"|1|8.96
"500055"|10|3.18
"440012"|70|11.11
"220015"|5|6.85
"220054"|12|4.51
"440048"|4|7.44
"500153"|12|12.5
"220015"|35|4.69
"500074"|92|5.88
"500074"|32|2.33
"500016"|35|9.48
"500021"|35|16.62
"500016"|79|4.94
"500021"|5|21.14
"220054"|10|2.73
"500016"|5|17.1
"500021"|79|14.29
"500153"|10|3.6
"440012"|4|3.62
"500055"|12|5.58
"220015"|1|5.88
"440048"|70|3.33
"500153"|2|3.7
"220054"|2|3.92
"220015"|78|0.0
"500016"|32|6.95
"440048"|10|7.59
"500055"|4|5.26
"440048"|2|10.64
"500021"|32|6.28
"220054"|70|7.5
"500016"|92|5.26
"500074"|1|16.28
"500021"|92|2.63
"440012"|12|4.81
"500153"|70|7.41
"500074"|78|0.0
"500016"|2|4.12
"500016"|10|4.79
"500021"|10|10.56
"500021"|2|3.1
"500055"|78|8.25
"440048"|32|6.03
"500153"|5|2.08
"220015"|12|7.58
"220054"|5|5.65
"440048"|92|0.0
"220054"|35|4.26
"500153"|35|14.29
"999"|32|6.45
"999"|92|4.33
"999"|8|0.0
"999"|35|11.16
"999"|79|4.82
"999"|5|14.5
"999"|74|5.64
"999"|70|10.93
"999"|10|5.87
"999"|2|3.82
"999"|4|5.79
"999"|78|8.42
"999"|1|8.96
"999"|12|7.39
